STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       4336;2024071306;    9;   14.0;  84.0;eor
       4336;2024071312;    9;   18.1;  62.0;eor
       4336;2024071318;    9;   18.5;  59.0;eor
       4336;2024071406;    9;   15.7;  76.0;eor
       4336;2024071412;    9;   22.4;  49.0;eor
       4336;2024071418;    9;   21.1;  55.0;eor
       4336;2024071506;    9;   17.0;  76.0;eor
       4336;2024071512;    9;   26.6;  45.0;eor
       4336;2024071518;    9;   25.1;  62.0;eor
       4336;2024071606;    9;   16.7;  83.0;eor
       4336;2024071612;    9;   21.4;  64.0;eor
       4336;2024071618;    9;   21.8;  53.0;eor
       4336;2024071706;    9;   16.1;  81.0;eor
       4336;2024071712;    9;   22.8;  50.0;eor
       4336;2024071718;    9;   23.8;  48.0;eor
       4336;2024071806;    9;   17.3;  77.0;eor
       4336;2024071812;    9;   26.3;  43.0;eor
       4336;2024071818;    9;   25.1;  45.0;eor
       4336;2024071906;    9;   18.9;  69.0;eor
       4336;2024071912;    9;   27.7;  48.0;eor
       4336;2024071918;    9;   28.0;  46.0;eor
       4336;2024072006;    9;   21.8;  71.0;eor
       4336;2024072012;    9;   29.0;  43.0;eor
       4336;2024072018;    9;   24.5;  80.0;eor
       4336;2024072106;    9;   19.0;  89.0;eor
       4336;2024072112;    9;   22.7;  72.0;eor
       4336;2024072118;    9;   24.2;  63.0;eor
       4336;2024072206;    9;   17.9;  83.0;eor
       4336;2024072212;    9;   22.2;  51.0;eor
       4336;2024072218;    9;   21.8;  53.0;eor
       4336;2024072306;    9;   17.5;  83.0;eor
       4336;2024072312;    9;   19.7;  81.0;eor
       4336;2024072318;    9;   19.8;  85.0;eor
       4336;2024072406;    9;   15.0;  89.0;eor
       4336;2024072412;    9;   19.5;  63.0;eor
       4336;2024072418;    9;   20.6;  53.0;eor
       4336;2024072506;    9;   15.2;  82.0;eor
       4336;2024072512;    9;   22.0;  53.0;eor
       4336;2024072518;    9;   23.5;  49.0;eor
       4336;2024072606;    9;   17.4;  84.0;eor
       4336;2024072612;    9;   20.5;  81.0;eor
       4336;2024072618;    9;   22.6;  77.0;eor
       4336;2024072706;    9;   17.6;  96.0;eor
       4336;2024072712;    9;   22.2;  83.0;eor
       4336;2024072718;    9;   19.6;  93.0;eor
       4336;2024072806;    9;   14.4;  96.0;eor
       4336;2024072812;    9;   21.8;  54.0;eor
       4336;2024072818;    9;   21.9;  54.0;eor
       4336;2024072906;    9;   15.8;  77.0;eor
       4336;2024072912;    9;   24.3;  46.0;eor
       4336;2024072918;    9;   24.6;  49.0;eor
       4336;2024073006;    9;   19.1;  67.0;eor
       4336;2024073012;    9;   28.9;  44.0;eor
       4336;2024073018;    9;   29.2;  54.0;eor
       4336;2024073106;    9;   20.0;  86.0;eor
       4336;2024073112;    9;   24.9;  61.0;eor
       4336;2024073118;    9;   26.6;  54.0;eor
       4336;2024080106;    9;   20.2;  89.0;eor
       4336;2024080112;    9;   19.5;  94.0;eor
       4336;2024080118;    9;   23.0;  81.0;eor
       4336;2024080206;    9;   18.5;  97.0;eor
       4336;2024080212;    9;   23.5;  72.0;eor
       4336;2024080218;    9;   18.3;  92.0;eor
       4336;2024080306;    9;   17.1;  98.0;eor
       4336;2024080312;    9;   22.1;  70.0;eor
       4336;2024080318;    9;   19.5;  70.0;eor
       4336;2024080406;    9;   16.7;  89.0;eor
       4336;2024080412;    9;   22.3;  71.0;eor
       4336;2024080418;    9;   18.4;  89.0;eor
       4336;2024080506;    9;   16.3;  92.0;eor
       4336;2024080512;    9;   23.4;  55.0;eor
       4336;2024080518;    9;   24.1;  50.0;eor
       4336;2024080606;    9;   18.8;  74.0;eor
       4336;2024080612;    9;   25.1;  51.0;eor
       4336;2024080618;    9;   26.0;  58.0;eor
       4336;2024080706;    9;   18.9;  86.0;eor
       4336;2024080712;    9;   23.8;  64.0;eor
       4336;2024080718;    9;   21.4;  71.0;eor
       4336;2024080806;    9;   15.9;  90.0;eor
       4336;2024080812;    9;   22.0;  52.0;eor
       4336;2024080818;    9;   22.1;  53.0;eor
       4336;2024080906;    9;   18.0;  74.0;eor
       4336;2024080912;    9;   25.7;  54.0;eor
       4336;2024080918;    9;   23.9;  62.0;eor
       4336;2024081006;    9;   19.1;  82.0;eor
       4336;2024081012;    9;   24.8;  60.0;eor
       4336;2024081018;    9;   25.0;  57.0;eor
       4336;2024081106;    9;   18.3;  72.0;eor
       4336;2024081112;    9;   27.2;  48.0;eor
       4336;2024081118;    9;   27.0;  53.0;eor
       4336;2024081206;    9;   20.6;  74.0;eor
       4336;2024081212;    9;   30.4;  50.0;eor
       4336;2024081218;    9;   31.1;  52.0;eor
       4336;2024081306;    9;   23.5;  80.0;eor
       4336;2024081312;    9;   31.9;  46.0;eor
       4336;2024081318;    9;   29.9;  44.0;eor
       4336;2024081406;    9;   19.2;  87.0;eor
       4336;2024081412;    9;   25.2;  63.0;eor
       4336;2024081418;    9;   21.1;  84.0;eor
       4336;2024081506;    9;   16.0;  90.0;eor
       4336;2024081512;    9;   25.3;  51.0;eor
       4336;2024081518;    9;   25.2;  56.0;eor
       4336;2024081606;    9;   18.6;  81.0;eor
       4336;2024081612;    9;   25.6;  44.0;eor
       4336;2024081618;    9;   24.1;  49.0;eor
       4336;2024081706;    9;   17.9;  86.0;eor
       4336;2024081712;    9;   24.6;  65.0;eor
       4336;2024081718;    9;   19.9;  85.0;eor
       4336;2024081806;    9;   16.7;  97.0;eor
       4336;2024081812;    9;   19.6;  80.0;eor
       4336;2024081818;    9;   20.6;  70.0;eor
       4336;2024081906;    9;   15.5;  87.0;eor
       4336;2024081912;    9;   21.3;  54.0;eor
       4336;2024081918;    9;   20.3;  64.0;eor
       4336;2024082006;    9;   15.8;  83.0;eor
       4336;2024082012;    9;   22.2;  63.0;eor
       4336;2024082018;    9;   22.0;  63.0;eor
       4336;2024082106;    9;   13.0;  95.0;eor
       4336;2024082112;    9;   18.6;  53.0;eor
       4336;2024082118;    9;   16.4;  62.0;eor
       4336;2024082206;    9;   10.8;  89.0;eor
       4336;2024082212;    9;   21.1;  47.0;eor
       4336;2024082218;    9;   21.1;  52.0;eor
       4336;2024082306;    9;   14.3;  73.0;eor
       4336;2024082312;    9;   24.2;  41.0;eor
       4336;2024082318;    9;   22.0;  66.0;eor
       4336;2024082406;    9;   18.5;  82.0;eor
       4336;2024082412;    9;   29.1;  43.0;eor
       4336;2024082418;    9;   27.1;  53.0;eor
       4336;2024082506;    9;   12.3;  93.0;eor
       4336;2024082512;    9;   18.2;  54.0;eor
       4336;2024082518;    9;   17.5;  52.0;eor
       4336;2024082606;    9;   12.3;  79.0;eor
       4336;2024082612;    9;   19.8;  49.0;eor
       4336;2024082618;    9;   18.9;  56.0;eor
       4336;2024082706;    9;   13.0;  75.0;eor
       4336;2024082712;    9;   23.9;  44.0;eor
       4336;2024082718;    9;   22.6;  59.0;eor
       4336;2024082806;    9;   17.2;  84.0;eor
       4336;2024082812;    9;   27.3;  52.0;eor
       4336;2024082818;    9;   27.0;  53.0;eor
       4336;2024082906;    9;   20.3;  83.0;eor
       4336;2024082912;    9;   29.3;  50.0;eor
       4336;2024082918;    9;   26.8;  60.0;eor
       4336;2024083006;    9;   19.4;  81.0;eor
       4336;2024083012;    9;   25.9;  62.0;eor
       4336;2024083018;    9;   25.2;  67.0;eor
       4336;2024083106;    9;   17.8;  86.0;eor
       4336;2024083112;    9;   26.6;  60.0;eor
       4336;2024083118;    9;   26.0;  62.0;eor
       4336;2024090106;    9;   18.9;  82.0;eor
       4336;2024090112;    9;   28.5;  55.0;eor
       4336;2024090118;    9;   25.3;  65.0;eor
       4336;2024090206;    9;   19.0;  88.0;eor
       4336;2024090212;    9;   21.0;  88.0;eor
       4336;2024090218;    9;   22.9;  76.0;eor
       4336;2024090306;    9;   17.8;  97.0;eor
       4336;2024090312;    9;   25.9;  55.0;eor
       4336;2024090318;    9;   22.5;  67.0;eor
       4336;2024090406;    9;   17.4;  97.0;eor
       4336;2024090412;    9;   21.1;  76.0;eor
       4336;2024090418;    9;   18.9;  90.0;eor
       4336;2024090506;    9;   17.8;  93.0;eor
       4336;2024090512;    9;   24.6;  67.0;eor
       4336;2024090518;    9;   20.7;  83.0;eor
       4336;2024090606;    9;   14.3;  97.0;eor
       4336;2024090612;    9;   17.5;  77.0;eor
       4336;2024090618;    9;   17.2;  84.0;eor
       4336;2024090706;    9;   16.3;  92.0;eor
       4336;2024090712;    9;   25.9;  58.0;eor
       4336;2024090718;    9;   21.9;  71.0;eor
       4336;2024090806;    9;   16.3;  95.0;eor
       4336;2024090812;    9;   19.6;  65.0;eor
       4336;2024090818;    9;   19.1;  69.0;eor
       4336;2024090906;    9;   13.8;  96.0;eor
